Z,symbol,name,category,appearance,atomic_mass,electron_configuration,discovered_by,named_by,phase,summary,source
42,Mo,Molybdenum,transition metal,gray metallic,95.951,[Kr] 4d5 5s1,Carl Wilhelm Scheele,,Solid,"Molybdenum is a chemical element with symbol Mo and atomic number 42. The name is from Neo-Latin molybdaenum, from Ancient Greek Μόλυβδος molybdos, meaning lead, since its ores were confused with lead ores. Molybdenum minerals have been known throughout history, but the element was discovered (in the sense of differentiating it as a new entity from the mineral salts of other metals) in 1778 by Carl Wilhelm Scheele.",https://en.wikipedia.org/wiki/Molybdenum
43,Tc,Technetium,transition metal,shiny gray metal,98,[Kr] 4d5 5s2,Emilio Segrè,,Solid,"Technetium (/tɛkˈniːʃiəm/) is a chemical element with symbol Tc and atomic number 43. It is the element with the lowest atomic number in the periodic table that has no stable isotopes:every form of it is radioactive. Nearly all technetium is produced synthetically, and only minute amounts are found in nature.",https://en.wikipedia.org/wiki/Technetium
44,Ru,Ruthenium,transition metal,silvery white metallic,101.072,[Kr] 4d7 5s1,Karl Ernst Claus,,Solid,"Ruthenium is a chemical element with symbol Ru and atomic number 44. It is a rare transition metal belonging to the platinum group of the periodic table. Like the other metals of the platinum group, ruthenium is inert to most other chemicals.",https://en.wikipedia.org/wiki/Ruthenium
45,Rh,Rhodium,transition metal,silvery white metallic,102.905502,[Kr] 4d8 5s1,William Hyde Wollaston,,Solid,"Rhodium is a chemical element with symbol Rh and atomic number 45. It is a rare, silvery-white, hard, and chemically inert transition metal. It is a member of the platinum group.",https://en.wikipedia.org/wiki/Rhodium
46,Pd,Palladium,transition metal,silvery white,106.421,[Kr] 4d10,William Hyde Wollaston,,Solid,"Palladium is a chemical element with symbol Pd and atomic number 46. It is a rare and lustrous silvery-white metal discovered in 1803 by William Hyde Wollaston. He named it after the asteroid Pallas, which was itself named after the epithet of the Greek goddess Athena, acquired by her when she slew Pallas.",https://en.wikipedia.org/wiki/Palladium
47,Ag,Silver,transition metal,lustrous white metal,107.86822,[Kr] 4d10 5s1,"unknown, before 5000 BC",,Solid,"Silver is a chemical element with symbol Ag (Greek:άργυρος árguros, Latin:argentum, both from the Indo-European root *h₂erǵ- for ""grey"" or ""shining"") and atomic number 47. A soft, white, lustrous transition metal, it possesses the highest electrical conductivity, thermal conductivity and reflectivity of any metal. The metal occurs naturally in its pure, free form (native silver), as an alloy with gold and other metals, and in minerals such as argentite and chlorargyrite.",https://en.wikipedia.org/wiki/Silver
48,Cd,Cadmium,transition metal,silvery bluish-gray metallic,112.4144,[Kr] 4d10 5s2,Karl Samuel Leberecht Hermann,Isotopes of cadmium,Solid,"Cadmium is a chemical element with symbol Cd and atomic number 48. This soft, bluish-white metal is chemically similar to the two other stable metals in group 12, zinc and mercury. Like zinc, it prefers oxidation state +2 in most of its compounds and like mercury it shows a low melting point compared to transition metals.",https://en.wikipedia.org/wiki/Cadmium
49,In,Indium,post-transition metal,silvery lustrous gray,114.8181,[Kr] 4d10 5s2 5p1,Ferdinand Reich,,Solid,"Indium is a chemical element with symbol In and atomic number 49. It is a post-transition metallic element that is rare in Earth's crust. The metal is very soft, malleable and easily fusible, with a melting point higher than sodium, but lower than lithium or tin.",https://en.wikipedia.org/wiki/Indium
50,Sn,Tin,post-transition metal,"silvery-white (beta, β) or gray (alpha, α)",118.7107,[Kr] 4d10 5s2 5p2,"unknown, before 3500 BC",,Solid,"Tin is a chemical element with the symbol Sn (for Latin:stannum) and atomic number 50. It is a main group metal in group 14 of the periodic table. Tin shows a chemical similarity to both neighboring group-14 elements, germanium and lead, and has two possible oxidation states, +2 and the slightly more stable +4.",https://en.wikipedia.org/wiki/Tin
51,Sb,Antimony,metalloid,silvery lustrous gray,121.7601,[Kr] 4d10 5s2 5p3,"unknown, before 3000 BC",,Solid,"Antimony is a chemical element with symbol Sb (from Latin:stibium) and atomic number 51. A lustrous gray metalloid, it is found in nature mainly as the sulfide mineral stibnite (Sb2S3). Antimony compounds have been known since ancient times and were used for cosmetics; metallic antimony was also known, but it was erroneously identified as lead upon its discovery.",https://en.wikipedia.org/wiki/Antimony
52,Te,Tellurium,metalloid,,127.603,[Kr] 4d10 5s2 5p4,Franz-Joseph Müller von Reichenstein,,Solid,"Tellurium is a chemical element with symbol Te and atomic number 52. It is a brittle, mildly toxic, rare, silver-white metalloid. Tellurium is chemically related to selenium and sulfur.",https://en.wikipedia.org/wiki/Tellurium
53,I,Iodine,diatomic nonmetal,"lustrous metallic gray, violet as a gas",126.904473,[Kr] 4d10 5s2 5p5,Bernard Courtois,,Solid,"Iodine is a chemical element with symbol I and atomic number 53. The name is from Greek ἰοειδής ioeidēs, meaning violet or purple, due to the color of iodine vapor. Iodine and its compounds are primarily used in nutrition, and industrially in the production of acetic acid and certain polymers.",https://en.wikipedia.org/wiki/Iodine
54,Xe,Xenon,noble gas,"colorless gas, exhibiting a blue glow when placed in a high voltage electric field",131.2936,[Kr] 4d10 5s2 5p6,William Ramsay,,Gas,"Xenon is a chemical element with symbol Xe and atomic number 54. It is a colorless, dense, odorless noble gas, that occurs in the Earth's atmosphere in trace amounts. Although generally unreactive, xenon can undergo a few chemical reactions such as the formation of xenon hexafluoroplatinate, the first noble gas compound to be synthesized.",https://en.wikipedia.org/wiki/Xenon
55,Cs,Cesium,alkali metal,silvery gold,132.905451966,[Xe] 6s1,Robert Bunsen,,Solid,"Caesium or cesium is a chemical element with symbol Cs and atomic number 55. It is a soft, silvery-gold alkali metal with a melting point of 28 °C (82 °F), which makes it one of only five elemental metals that are liquid at or near room temperature. Caesium is an alkali metal and has physical and chemical properties similar to those of rubidium and potassium.",https://en.wikipedia.org/wiki/Cesium
56,Ba,Barium,alkaline earth metal,,137.3277,[Xe] 6s2,Carl Wilhelm Scheele,,Solid,"Barium is a chemical element with symbol Ba and atomic number 56. It is the fifth element in Group 2, a soft silvery metallic alkaline earth metal. Because of its high chemical reactivity barium is never found in nature as a free element.",https://en.wikipedia.org/wiki/Barium
57,La,Lanthanum,lanthanide,silvery white,138.905477,[Xe] 5d16s2,Carl Gustaf Mosander,,Solid,"Lanthanum is a soft, ductile, silvery-white metallic chemical element with symbol La and atomic number 57. It tarnishes rapidly when exposed to air and is soft enough to be cut with a knife. It gave its name to the lanthanide series, a group of 15 similar elements between lanthanum and lutetium in the periodic table:it is also sometimes considered the first element of the 6th-period transition metals.",https://en.wikipedia.org/wiki/Lanthanum
58,Ce,Cerium,lanthanide,silvery white,140.1161,[Xe] 4f1 5d1 6s2,Martin Heinrich Klaproth,,Solid,"Cerium is a chemical element with symbol Ce and atomic number 58. It is a soft, silvery, ductile metal which easily oxidizes in air. Cerium was named after the dwarf planet Ceres (itself named after the Roman goddess of agriculture).",https://en.wikipedia.org/wiki/Cerium
59,Pr,Praseodymium,lanthanide,grayish white,140.907662,[Xe] 4f3 6s2,Carl Auer von Welsbach,,Solid,"Praseodymium is a chemical element with symbol Pr and atomic number 59. Praseodymium is a soft, silvery, malleable and ductile metal in the lanthanide group. It is valued for its magnetic, electrical, chemical, and optical properties.",https://en.wikipedia.org/wiki/Praseodymium
60,Nd,Neodymium,lanthanide,silvery white,144.2423,[Xe] 4f4 6s2,Carl Auer von Welsbach,,Solid,Neodymium is a chemical element with symbol Nd and atomic number 60. It is a soft silvery metal that tarnishes in air. Neodymium was discovered in 1885 by the Austrian chemist Carl Auer von Welsbach.,https://en.wikipedia.org/wiki/Neodymium
61,Pm,Promethium,lanthanide,metallic,145,[Xe] 4f5 6s2,Chien Shiung Wu,Isotopes of promethium,Solid,"Promethium, originally prometheum, is a chemical element with the symbol Pm and atomic number 61. All of its isotopes are radioactive; it is one of only two such elements that are followed in the periodic table by elements with stable forms, a distinction shared with technetium. Chemically, promethium is a lanthanide, which forms salts when combined with other elements.",https://en.wikipedia.org/wiki/Promethium
62,Sm,Samarium,lanthanide,silvery white,150.362,[Xe] 4f6 6s2,Lecoq de Boisbaudran,,Solid,"Samarium is a chemical element with symbol Sm and atomic number 62. It is a moderately hard silvery metal that readily oxidizes in air. Being a typical member of the lanthanide series, samarium usually assumes the oxidation state +3.",https://en.wikipedia.org/wiki/Samarium
63,Eu,Europium,lanthanide,,151.9641,[Xe] 4f7 6s2,Eugène-Anatole Demarçay,,Solid,"Europium is a chemical element with symbol Eu and atomic number 63. It was isolated in 1901 and is named after the continent of Europe. It is a moderately hard, silvery metal which readily oxidizes in air and water.",https://en.wikipedia.org/wiki/Europium
64,Gd,Gadolinium,lanthanide,silvery white,157.253,[Xe] 4f7 5d1 6s2,Jean Charles Galissard de Marignac,,Solid,"Gadolinium is a chemical element with symbol Gd and atomic number 64. It is a silvery-white, malleable and ductile rare-earth metal. It is found in nature only in combined (salt) form.",https://en.wikipedia.org/wiki/Gadolinium
65,Tb,Terbium,lanthanide,silvery white,158.925352,[Xe] 4f9 6s2,Carl Gustaf Mosander,,Solid,"Terbium is a chemical element with symbol Tb and atomic number 65. It is a silvery-white rare earth metal that is malleable, ductile and soft enough to be cut with a knife. Terbium is never found in nature as a free element, but it is contained in many minerals, including cerite, gadolinite, monazite, xenotime and euxenite.",https://en.wikipedia.org/wiki/Terbium
66,Dy,Dysprosium,lanthanide,silvery white,162.5001,[Xe] 4f10 6s2,Lecoq de Boisbaudran,,Solid,"Dysprosium is a chemical element with the symbol Dy and atomic number 66. It is a rare earth element with a metallic silver luster. Dysprosium is never found in nature as a free element, though it is found in various minerals, such as xenotime.",https://en.wikipedia.org/wiki/Dysprosium
67,Ho,Holmium,lanthanide,silvery white,164.930332,[Xe] 4f11 6s2,Marc Delafontaine,,Solid,"Holmium is a chemical element with symbol Ho and atomic number 67. Part of the lanthanide series, holmium is a rare earth element. Holmium was discovered by Swedish chemist Per Theodor Cleve.",https://en.wikipedia.org/wiki/Holmium
68,Er,Erbium,lanthanide,silvery white,167.2593,[Xe] 4f12 6s2,Carl Gustaf Mosander,,Solid,"Erbium is a chemical element in the lanthanide series, with symbol Er and atomic number 68. A silvery-white solid metal when artificially isolated, natural erbium is always found in chemical combination with other elements on Earth. As such, it is a rare earth element which is associated with several other rare elements in the mineral gadolinite from Ytterby in Sweden, where yttrium, ytterbium, and terbium were discovered.",https://en.wikipedia.org/wiki/Erbium
69,Tm,Thulium,lanthanide,silvery gray,168.934222,[Xe] 4f13 6s2,Per Teodor Cleve,,Solid,"Thulium is a chemical element with symbol Tm and atomic number 69. It is the thirteenth and antepenultimate (third-last) element in the lanthanide series. Like the other lanthanides, the most common oxidation state is +3, seen in its oxide, halides and other compounds.",https://en.wikipedia.org/wiki/Thulium
70,Yb,Ytterbium,lanthanide,,173.0451,[Xe] 4f14 6s2,Jean Charles Galissard de Marignac,,Solid,"Ytterbium is a chemical element with symbol Yb and atomic number 70. It is the fourteenth and penultimate element in the lanthanide series, which is the basis of the relative stability of its +2 oxidation state. However, like the other lanthanides, its most common oxidation state is +3, seen in its oxide, halides and other compounds.",https://en.wikipedia.org/wiki/Ytterbium
71,Lu,Lutetium,lanthanide,silvery white,174.96681,[Xe] 4f14 5d1 6s2,Georges Urbain,,Solid,"Lutetium is a chemical element with symbol Lu and atomic number 71. It is a silvery white metal, which resists corrosion in dry, but not in moist air. It is considered the first element of the 6th-period transition metals and the last element in the lanthanide series, and is traditionally counted among the rare earths.",https://en.wikipedia.org/wiki/Lutetium
72,Hf,Hafnium,transition metal,steel gray,178.492,[Xe] 4f14 5d2 6s2,Dirk Coster,,Solid,"Hafnium is a chemical element with symbol Hf and atomic number 72. A lustrous, silvery gray, tetravalent transition metal, hafnium chemically resembles zirconium and is found in zirconium minerals. Its existence was predicted by Dmitri Mendeleev in 1869, though it was not identified until 1923, making it the penultimate stable element to be discovered (rhenium was identified two years later).",https://en.wikipedia.org/wiki/Hafnium
